filename,title,jcamp-dx,data type,class,origin,owner,date,names,molform,source reference,$nist id,$nist source,$nist image,spectrometer/data system,state,sampling procedure,resolution,data processing,xunits,yunits,xfactor,yfactor,deltax,firstx,lastx,firsty,maxx,minx,maxy,miny,npoints,xydata,end,x_min,x_max,y_min,y_max,path length,mp,bp,instrument parameters,xlabel,ylabel,cas name,cas registry no,$nist doc file,instrument resolution,ir source,aperture,beamsplitter,detector,scanner speed,phase correction,interferogram zerofill,spectral interval after zerofilling,spectral range,apodization,folding limits,number of interferograms averaged per single channel spectrum,$spectra version,$uncertainty in y,sample description,pressure,temperature,$nist psd file,external diffuse reflectance accessory,detector (dia. det. port in sphere),sphere diameter,acquisition mode,coadded scans,phase resolution,zerofilling,spectral resolution,wavenumber accuracy,apodization function,low pass filter,switch gain on
B6000033_IR_0.jdx,"ETHANOL, 2,2'-(5-CHLORO-2-ETHOXY PHENYLIMIDO) DI",4.24,INFRARED SPECTRUM,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970","ANILINE, 2-ETHOXY-5-CHLORO-N,N-(2,2'-DIETHANOL)",C12 H18 Cl N O3,COBLENTZ NO. 33,B6000033,COBLENTZ,cob33,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (NUJOL MULL),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.006609,2.035,16.0074,0.751,16.0074,2.035,0.823,0.011,2115,(X++(Y..Y)),,2.035,16.0074,0.011,0.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000034_IR_0.jdx,2-(O-CHLOROPHENYL)BENZOXAZONE-4,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970","2-(2-chlorophenyl)-2,3-dihydro-4H-1,3-benzoxazin-4-one",C14 H10 N O2 Cl,COBLENTZ NO. 34,B6000034,COBLENTZ,cob34,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLUTION (7% CHCl3),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007177,2.031,15.4446,0.982,15.4446,2.031,0.982,0.017,1870,(X++(Y..Y)),,2.031,15.4446,0.017,0.982,0.009 CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000036_IR_0.jdx,2-ISOBUTYLBENZOXAZONE-4,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970","2-isobutyl-2,3-dihydro-4H-1,3-benzoxazin-4-one",C12 H15 N O2,COBLENTZ NO. 36,B6000036,COBLENTZ,cob36,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLUTION (7% CHCl3),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007149,2.042,15.4754,0.98,15.4754,2.042,1.012,0.014,1880,(X++(Y..Y)),,2.042,15.4754,0.014,1.012,0.009 CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000043_IR_0.jdx,"SULFONYL-O,O'-DIPHENACYLDIBENZOATE",4.24,INFRARED SPECTRUM,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",2-[3-((3-[(benzoyloxy)acetyl]phenyl)sulfonyl)phenyl]-2-oxoethyl benzoate,C30 H22 O8 S,COBLENTZ NO. 43,B6000043,COBLENTZ,cob43,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (NUJOL MULL),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.006477,2.022,15.9988,0.637,15.9988,2.022,1.001,0.077,2159,(X++(Y..Y)),,2.022,15.9988,0.077,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000044_IR_0.jdx,"SULFONYL-O,M'-DIBENZOIC ACID, DIPHENACYL ESTER",4.24,INFRARED SPECTRUM,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,C30 H22 O8 S,COBLENTZ NO. 44,B6000044,COBLENTZ,cob44,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (NUJOL MULL),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.006468,2.023,15.995,0.564,15.995,2.023,0.986,0.068,2161,(X++(Y..Y)),,2.023,15.995,0.068,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000045_IR_0.jdx,"SULFONYL-O,P'-DIPHENACYLDIBENZOATE",4.24,INFRARED SPECTRUM,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,C30 H22 O8 S,COBLENTZ NO. 45,B6000045,COBLENTZ,cob45,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (NUJOL MULL),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.00646,2.025,15.9974,0.599,15.9974,2.025,0.86,0.09,2164,(X++(Y..Y)),,2.025,15.9974,0.09,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000056_IR_0.jdx,LITHIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Li2 C2 O4,COBLENTZ NO. 56,B6000056,COBLENTZ,cob56,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007576,2.061,15.7349,0.752,15.7349,2.061,0.985,0.058,1806,(X++(Y..Y)),,2.061,15.7349,0.058,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000057_IR_0.jdx,POTASSIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,K2 C2 O4  * H2 O,COBLENTZ NO. 57,B6000057,COBLENTZ,cob57,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007595,2.01,14.997,0.789,14.997,2.01,0.889,0.225,1711,(X++(Y..Y)),,2.01,14.997,0.225,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000058_IR_0.jdx,MAGNESIUM OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Mg C2 O4  * 2 H2 O,COBLENTZ NO. 58,B6000058,COBLENTZ,cob58,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007589,2.065,15.8076,0.941,15.8076,2.065,0.97,0.045,1812,(X++(Y..Y)),,2.065,15.8076,0.045,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6000059_IR_0.jdx,MANGANOUS OXALATE,4.24,INFRARED SPECTRUM,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,"Not specified, most likely prior to 1970",,Mn C2 O4  * 2 H2 O,COBLENTZ NO. 59,B6000059,COBLENTZ,cob59,"Not specified, most likely a prism, grating, or hybrid spectrometer.",SOLID (KBr DISC),TRANSMISSION,4,DIGITIZED BY NIST FROM HARD COPY,MICROMETERS,TRANSMITTANCE,1.0,1,0.007576,1.977,14.9396,0.787,14.9396,1.977,0.992,0.051,1712,(X++(Y..Y)),,1.977,14.9396,0.051,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
