cID,name,inchi,mp,bp,sID,filename,state,state_original,resolution,spectrometer,original_spectrum,collection,origin,owner,source_reference,nist_source,date
B6000033,"Ethanol, 2,2'-(5-chloro-2-ethoxy phenylimido) di","InChI=1S/C12H18ClNO3/c1-2-17-12-4-3-10(13)9-11(12)14(5-7-15)6-8-16/h3-4,9,15-16H,2,5-8H2,1H3",,,0,B6000033_IR_0.jdx,solid,SOLID (NUJOL MULL),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob33,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 33,COBLENTZ,"Not specified, most likely prior to 1970"
B6000034,2-(O-chlorophenyl)benzoxazone-4,"InChI=1S/C14H10ClNO2/c15-11-7-3-1-5-9(11)14-16-13(17)10-6-2-4-8-12(10)18-14/h1-8,14H,(H,16,17)",,,0,B6000034_IR_0.jdx,solution,SOLUTION (7% CHCl3),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob34,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 34,COBLENTZ,"Not specified, most likely prior to 1970"
B6000036,2-Isobutylbenzoxazone-4,"InChI=1S/C12H15NO2/c1-8(2)7-11-13-12(14)9-5-3-4-6-10(9)15-11/h3-6,8,11H,7H2,1-2H3,(H,13,14)",,,0,B6000036_IR_0.jdx,solution,SOLUTION (7% CHCl3),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob36,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 36,COBLENTZ,"Not specified, most likely prior to 1970"
B6000043,"Sulfonyl-o,o'-diphenacyldibenzoate","InChI=1S/C30H22O8S/c31-27(19-37-29(33)21-9-3-1-4-10-21)23-13-7-15-25(17-23)39(35,36)26-16-8-14-24(18-26)28(32)20-38-30(34)22-11-5-2-6-12-22/h1-18H,19-20H2",,,0,B6000043_IR_0.jdx,solid,SOLID (NUJOL MULL),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob43,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 43,COBLENTZ,"Not specified, most likely prior to 1970"
B6000044,"Sulfonyl-o,m'-dibenzoic acid, diphenacyl ester","InChI=1S/C30H22O8S/c31-27(21-9-3-1-4-10-21)19-37-29(33)23-13-7-15-25(17-23)39(35,36)26-16-8-14-24(18-26)30(34)38-20-28(32)22-11-5-2-6-12-22/h1-18H,19-20H2",,,0,B6000044_IR_0.jdx,solid,SOLID (NUJOL MULL),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob44,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 44,COBLENTZ,"Not specified, most likely prior to 1970"
B6000045,"Sulfonyl-o,p'-diphenacyldibenzoate","InChI=1S/C30H22O8S/c31-27(21-9-3-1-4-10-21)19-37-29(33)23-13-7-15-25(17-23)39(35,36)26-16-8-14-24(18-26)30(34)38-20-28(32)22-11-5-2-6-12-22/h1-18H,19-20H2",,,0,B6000045_IR_0.jdx,solid,SOLID (NUJOL MULL),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob45,COBLENTZ,"TENNESSEE EASTMAN COMPANY, RESEARCH LABORATORIES",COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 45,COBLENTZ,"Not specified, most likely prior to 1970"
B6000056,Lithium oxalate,"InChI=1S/C2H2O4.2Li/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;/q;2*+1/p-2",,,0,B6000056_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob56,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 56,COBLENTZ,"Not specified, most likely prior to 1970"
B6000057,Potassium oxalate,"InChI=1S/C2H2O4.2K/c3-1(4)2(5)6;;/h(H,3,4)(H,5,6);;/q;2*+1/p-2",,,0,B6000057_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob57,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 57,COBLENTZ,"Not specified, most likely prior to 1970"
B6000058,Magnesium oxalate,"InChI=1S/C2H2O4.Mg.2H2O/c3-1(4)2(5)6;;;/h(H,3,4)(H,5,6);;2*1H2/q;+2;;/p-2",,,0,B6000058_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob58,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 58,COBLENTZ,"Not specified, most likely prior to 1970"
B6000059,Manganous oxalate,"InChI=1S/C2H2O4.Mn.2H2O/c3-1(4)2(5)6;;;/h(H,3,4)(H,5,6);;2*1H2/q;+2;;/p-2",,,0,B6000059_IR_0.jdx,solid,SOLID (KBr DISC),4,"Not specified, most likely a prism, grating, or hybrid spectrometer.",cob59,COBLENTZ,,COBLENTZ SOCIETY Collection (C) 2018 copyright by the U.S. Secretary of Commerce on behalf of the United States of America. All rights reserved.,COBLENTZ NO. 59,COBLENTZ,"Not specified, most likely prior to 1970"
